SRM pendulum synesthetic test
Frequency:				10.00GHz
Num of meas points:		144002
Num of recon points:	1891
Sample frequency:		0.715602 lamda
Critical angle:			80.8294 deg
Co-located measurement.
No noise added.

Error:					0.004064

Using ecliptical AUT
Major Axis:				5.00
Minor Axis:				2.00
Current Step size:		0.25
x pahse taper:			theta:10.0	phi:30.0
y pahse taper:			theta:10.0	phi:30.0

Pendulum Near-field grid
Arm length:				30.8 lamda
Meas time interval:		0.005 sec
Omega AUT:				1.0 deg/sec
Initial angle:			20.0 deg
Z distance:				3.0 lamda
Radius:					0.6321 m

Reconstruction Surface
Step size:				0.1 lamda
X size:					6.0 lamda
Y size:					3.0 lamda
Z distance:				0.1 lamda

Synesthetic Far-field
FF phi:					30.0 deg


E_mag_FF_True_norm_dB,	E_mag_FF_SRM_norm_dB
-58.064230,				-42.074401
-58.091374,				-42.097988
-58.174875,				-42.175400
-58.321058,				-42.307293
-58.540895,				-42.494780
-58.850807,				-42.739420
-59.274183,				-43.043210
-59.844169,				-43.408554
-60.608885,				-43.838199
-61.641641,				-44.335104
-63.062488,				-44.902193
-65.088725,				-45.541897
-68.167282,				-46.255324
-73.206275,				-47.040798
-75.678672,				-47.891366
-68.999125,				-48.790787
-64.180251,				-49.707847
-60.806479,				-50.590317
-58.240249,				-51.363724
-56.193675,				-51.944602
-54.523640,				-52.273409
-53.153687,				-52.349984
-52.043011,				-52.238977
-51.173148,				-52.040310
-50.542562,				-51.855005
-50.165806,				-51.769590
-50.076759,				-51.857455
-50.337610,				-52.185857
-51.058965,				-52.815183
-52.444471,				-53.756016
-54.878656,				-54.758940
-58.668537,				-54.817331
-58.408147,				-52.842239
-52.494688,				-49.687246
-47.736461,				-46.502742
-44.110788,				-43.633065
-41.191852,				-41.097533
-38.748796,				-38.853160
-36.654518,				-36.856848
-34.834005,				-35.075460
-33.240487,				-33.485252
-31.843817,				-32.069795
-30.624402,				-30.818202
-29.569876,				-29.723899
-28.673223,				-28.783860
-27.931770,				-27.998211
-27.346744,				-27.370161
-26.923303,				-26.906249
-26.671015,				-26.616980
-26.604950,				-26.518006
-26.747690,				-26.632193
-27.132947,				-26.993282
-27.812349,				-27.652655
-28.869112,				-28.692943
-30.448883,				-30.258613
-32.842193,				-32.637587
-36.774530,				-36.547666
-45.131811,				-44.844014
-45.663487,				-45.740161
-36.520744,				-36.446918
-32.152875,				-32.057649
-29.428259,				-29.331402
-27.603356,				-27.511651
-26.403850,				-26.320313
-25.716706,				-25.642646
-25.509852,				-25.445528
-25.813136,				-25.757940
-26.733201,				-26.685512
-28.521594,				-28.477940
-31.815664,				-31.766829
-38.635692,				-38.539748
-38.774179,				-38.800652
-30.390364,				-30.424150
-25.753762,				-25.784232
-22.689138,				-22.718791
-20.507211,				-20.536616
-18.934643,				-18.963591
-17.847917,				-17.875915
-17.196176,				-17.222668
-16.977090,				-17.001594
-17.236250,				-17.258545
-18.089103,				-18.109707
-19.789218,				-19.811335
-22.933711,				-22.975445
-28.674129,				-28.906142
-26.890558,				-27.164595
-19.840343,				-19.929380
-15.273484,				-15.320032
-12.003007,				-12.032448
-9.479647,				-9.499669
-7.452657,				-7.466580
-5.789337,				-5.798972
-4.411445,				-4.417956
-3.269192,				-3.273410
-2.329132,				-2.331690
-1.567929,				-1.569323
-0.968902,				-0.969527
-0.519998,				-0.520165
-0.212554,				-0.212502
-0.040524,				-0.040432
0.000000,				0.000000
-0.088939,				-0.089125
-0.307034,				-0.307476
-0.655726,				-0.656487
-1.138341,				-1.139490
-1.760388,				-1.762026
-2.530074,				-2.532351
-3.459126,				-3.462278
-4.564122,				-4.568516
-5.868699,				-5.874897
-7.407326,				-7.416207
-9.232212,				-9.245203
-11.426922,				-11.446501
-14.136101,				-14.167137
-17.639445,				-17.693612
-22.559572,				-22.676143
-29.877209,				-30.244297
-29.063228,				-29.172823
-23.907642,				-23.903066
-21.065080,				-21.054460
-19.461565,				-19.456099
-18.593299,				-18.595333
-18.232370,				-18.242983
-18.264208,				-18.284326
-18.629562,				-18.660183
-19.301746,				-19.343993
-20.278073,				-20.333235
-21.579165,				-21.648769
-23.255726,				-23.341707
-25.407906,				-25.513080
-28.235765,				-28.365326
-32.190420,				-32.358557
-38.549608,				-38.833386
-46.293241,				-47.064541
-38.147237,				-38.387071
-33.701633,				-33.919958
-31.233117,				-31.467652
-29.740219,				-29.998762
-28.844946,				-29.131328
-28.369312,				-28.686791
-28.217892,				-28.570072
-28.336207,				-28.727550
-28.693401,				-29.129776
-29.274509,				-29.763968
-30.077380,				-30.631402
-31.112600,				-31.748240
-32.406394,				-33.150261
-34.008043,				-34.904394
-36.006554,				-37.135853
-38.570445,				-40.100203
-42.058547,				-44.427585
-47.407693,				-52.449696
-56.272774,				-56.811943
-50.268090,				-47.017297
-44.749596,				-42.725237
-41.608589,				-40.124188
-39.546832,				-38.346948
-38.093759,				-37.063588
-37.033220,				-36.113052
-36.248129,				-35.404476
-35.667554,				-34.881507
-35.244897,				-34.506809
-34.947565,				-34.254424
-34.751572,				-34.105635
-34.638488,				-34.046559
-34.593602,				-34.066631
-34.604754,				-34.157607
-34.661569,				-34.312831
-34.754924,				-34.526662
-34.876581,				-34.793956
-35.018921,				-35.109545
-35.174768,				-35.467648
-35.337271,				-35.861178
-35.499855,				-36.280895
-35.656225,				-36.714452
-35.800429,				-37.145439
-35.926975,				-37.552780
-36.030989,				-37.911046
-36.108400,				-38.192447
-36.156131,				-38.370934
-36.172259,				-38.427803


