-0.853806, 3.30906
15.4976, -58.2479
32.7587, -121.497
50.618, -188.573
68.8284, -261.586
87.1907, -342.599
105.537, -433.604
123.714, -536.497
141.565, -653.046
158.919, -784.87
175.567, -933.395
191.26, -1099.83
205.689, -1285.12
218.482, -1489.93
229.197, -1714.55
237.324, -1958.92
242.29, -2222.57
243.466, -2504.55
240.189, -2803.45
231.778, -3117.34
217.569, -3443.75
196.947, -3779.72
169.385, -4121.7
134.488, -4465.68
92.0377, -4807.15
42.0364, -5141.17
-15.2529, -5462.41
-79.2726, -5765.27
-149.148, -6043.94
-223.676, -6292.49
-301.336, -6505.02
-380.311, -6675.74
-458.537, -6799.08
-533.769, -6869.87
-603.668, -6883.39
-665.9, -6835.54
-718.25, -6722.9
-758.739, -6542.86
-785.734, -6293.71
-798.05, -5974.7
-795.028, -5586.18
-776.586, -5129.64
-743.231, -4607.79
-696.037, -4024.65
-636.58, -3385.65
-566.839, -2697.66
-489.069, -1969.05
-405.663, -1209.75
-318.998, -431.177
-231.313, 353.763
-144.599, 1130.87
-60.5373, 1884.85
19.5082, 2599.67
94.4566, 3258.95
163.421, 3846.55
225.586, 4347.2
280.073, 4747.21
325.806, 5035.22
361.419, 5203.02
385.224, 5246.18
395.249, 5164.77
389.382, 4963.75
365.59, 4653.24
322.228, 4248.53
258.387, 3769.85
174.256, 3241.75
71.4476, 2692.34
-46.7726, 2152.18
-175.378, 1653.03
-307.648, 1226.45
-435.417, 902.269
-549.507, 707.139
-640.322, 663.085
-698.547, 786.209
-715.901, 1085.56
-685.871, 1562.23
-604.342, 2208.69
-470.071, 3008.41
-284.943, 3935.77
-53.9892, 4956.23
214.837, 6026.9
511.106, 7097.34
822.522, 8110.78
1135.65, 9005.6
1436.69, 9717.2
1712.19, 10180.1
1949.72, 10330.5
2138.37, 10108.5
2269.15, 9461.15
2335.21, 8344.82
2331.92, 6727.74
2256.9, 4592.13
2109.94, 1935.87
1892.89, -1226.41
1609.58, -4862.85
1265.72, -8924.69
868.79, -13347.3
427.964, -18051.8
-46.0497, -22947.6
-541.191, -27935
-1044.31, -32909
-1541.55, -37761.9
-2018.77, -42387.7
-2462.07, -46684.7
-2858.41, -50559.6
-3196.14, -53929.4
-3465.54, -56724.3
-3659.32, -58889.4
-3772.9, -60385.8
-3804.62, -61191.7
-3755.75, -61302.1
-3630.31, -60728.6
-3434.78, -59498.5
-3177.7, -57653.3
-2869.11, -55247.1
-2520.07, -52344.6
-2142.04, -49018.9
-1746.44, -45348.8
-1344.17, -41416.8
-945.293, -37306.3
-558.736, -33099.4
-192.159, -28875.1
148.133, -24706.9
457.194, -20661.6
731.383, -16797.8
968.279, -13165.3
1166.56, -9804.46
1325.9, -6745.73
1446.81, -4010.16
1530.56, -1609.66
1579.05, 452.392
1594.7, 2180.23
1580.36, 3584.8
1539.23, 4682.66
1474.76, 5494.9
1390.55, 6046.07
1290.3, 6363.11
1177.68, 6474.41
1056.25, 6408.91
929.448, 6195.32
800.425, 5861.5
